consumption,government,year,investment,exports,low
101.8274444343537,40.72862060025666,1950,14.81149813497388,2.649412305002772,0
111.0268021746005,50.01749596996038,1951,15.17755077801201,3.191831183166498,0
116.699380533207,54.83391432861529,1952,13.82154303938727,3.001852153953827,0
120.830031456324,57.09145529419477,1953,13.995540715731,2.754879404230705,0
117.0092526522929,53.0711796048389,1954,13.4487098713423,2.838017279560535,0
121.0478092718655,53.59066193665358,1955,15.92192682104968,3.086244307249064,0
121.4175345530525,53.2049537242875,1956,16.10909069443635,3.532781532590131,0
122.4322842746796,53.77472332764724,1957,15.66212016754028,3.772318635531834,0
120.9087776890083,52.7964850829698,1958,14.05541046633416,3.208614577693436,0
126.0292718520293,55.24564775275239,1959,16.19125534440094,3.478921381348881,0
126.2802752660583,55.01493812209517,1960,16.5038185543712,4.000902077984557,0
127.778567350003,56.23186397252,1961,16.29651293528488,3.957138206260032,0
133.5276489220785,59.58950917707499,1962,17.68877577506809,4.093442130635378,0
136.8201012778712,60.93303204706382,1963,18.63251518637145,4.322151571020883,0
142.040444910069,62.73765362796848,1964,19.9937866901639,4.766048515421872,0
148.8037139208057,65.52034210054134,1965,21.95793791378838,4.838516057186464,0
157.369931638104,70.3724146203038,1966,23.55713897878202,5.114034707638563,0
161.3904230620697,72.76271546587446,1967,22.77903256565532,5.173956417537564,0
167.9755138504461,75.17134685676692,1968,23.99955710477929,5.5274208578418,0
171.091021866876,75.77095535339669,1969,25.04955651038516,5.740080227860246,0
169.7327628157462,73.28904632622738,1970,24.20622071663001,6.278841253017328,0
172.2644017091875,73.39247451354711,1971,25.83461602372037,6.307604690380554,0
178.8455012602354,75.03350704200034,1972,28.22259230192177,6.726962869005579,0
185.6685820099109,77.7549401727522,1973,31.53782605765705,7.916904454940746,0
183.1522591240782,77.12264998844711,1974,30.32204209953113,8.467461201310575,0
181.2272985300916,73.83930921923366,1975,26.46973744023883,8.33209964711709,0
189.438433674126,77.15955055989342,1976,30.00259887715507,8.611978418528791,0
196.030337528592,80.17637067193624,1977,32.92860794337157,8.730774786878229,0
204.0092876019587,84.35605050823266,1978,36.26404788119922,9.550896090466415,0
207.2949368878127,86.14548170874195,1979,37.72638740149515,10.38118676206135,0
203.7875669632408,84.40580494428279,1980,35.67745146409847,11.36667957544128,0
206.1269506009757,86.29071992352291,1981,37.57924929427269,11.39105254308781,0
202.6481029937176,82.2148587658522,1982,33.09960828380058,10.41875855530144,0
211.2222791513505,85.11972916051334,1983,34.63103198759313,10.05718813103044,0
225.1752858961354,93.59604585867726,1984,41.78989196938356,10.78229618574957,0
233.6989217279411,96.53262737294476,1985,41.75837174380742,11.04491025305749,0
241.0300999528291,99.49330589148258,1986,42.26741149671104,11.78364893105316,0
247.4306316191672,102.3893661874905,1987,44.026365956794,12.9551753039213,0
254.7537147059851,105.021824132253,1988,46.46887480692029,14.91925289502921,0
261.3058724289548,108.6572562439997,1989,49.00710559588218,16.48990910475419,0
263.9239886858353,109.9400252701401,1990,49.06854347419868,17.74422127278542,0
260.5462650280299,108.3220552270315,1991,47.53324345151928,18.6679684973444,0
266.2637721679266,110.5212770695387,1992,50.25732007332376,19.69763365801906,0
270.743755037957,111.6561522155805,1993,52.65726380368604,20.0801987795154,0
279.1805506765258,115.9195161280155,1994,57.582531321316,21.5912572686924,0
284.2881830058252,118.1854156911334,1995,60.24027966296514,23.5308165626194,0
292.2940501001677,122.4195389336311,1996,64.61537511934387,25.15958853875926,0
303.4848183239583,129.3085718474359,1997,71.25469794857914,27.82144896791296,0
315.236106273479,133.93205110484,1998,75.15825853976651,28.14179538983239,0
328.3259570721769,139.6406460611512,1999,79.64504064330993,29.20795220630108,0
341.0904406801405,144.9723283862061,2000,84.54855924368671,31.30110920559303,0
340.0708202548108,141.0055249224006,2001,78.95021333192746,29.19828405063049,0
343.719313235302,141.4762009691023,2002,77.27344235128959,28.41912251112808,0
351.0003704732279,144.2484539543278,2003,79.26980996520527,28.77249308686235,0
363.9204721169237,151.3395396817394,2004,85.95015211372547,31.27066411732208,0
374.402623754567,156.2809409867167,2005,91.00262165753662,33.19050991221243,0
383.3392865450062,160.6609734680533,2006,94.96899193218812,35.94834483693445,0
387.4012325720477,161.945313702005,2007,95.71129353952276,38.70373927053262,0
382.4410014510512,159.5662925518115,2008,92.33136641528932,40.51136814245229,0
364.4076309785206,146.2603503670412,2009,77.28469361023213,36.78405407406952,0
375.2926692546579,155.1585477490182,2010,86.75346284488657,40.90893082785966,0
380.4016679680623,157.7690076277196,2011,92.00220447607083,43.50579756006366,0
386.3819740484512,162.0391783539258,2012,98.10009538934739,44.66304975713222,0
390.5922326096459,164.5862032463858,2013,102.6338486797409,45.93484922077214,0
398.6814408362134,167.7653860749573,2014,106.8484956785788,47.55231046302472,0
408.4633076581907,170.7245940945414,2015,109.1353288713472,47.47232040818311,0
411.9609382057111,169.4839196318309,2016,107.4701460686334,47.07977832197675,0
